ITEM_NAME,SKU,CUR_PRICE,MIN_UPBID,MINUTES_LEFT,START_DATE,END_DATE,NUM_BIDS,HIGHEST_BIDR,ITEM_TYPE,LIST_DAY,LIST_MONTH,MINUTES_SINCE,DAYS_SINCE,DATE_OBS,ID
10K White Gold Floral Pendant: DiamondsGemstones,214085F,501.75,503.5,46,2020-12-07,2020-12-14,53,Dinner,Jewelry,Monday,December,10034,0,2020-12-14,8
1939-1945 World War II British War Medal,213038F,22.75,24.5,89,2020-12-07,2020-12-14,10,jcmartin,Jewelry,Monday,December,9991,0,2020-12-14,7
925 Silver DiamondAmethyst Ring,212242F,142.75,144.5,54,2020-12-07,2020-12-14,43,tanvirchowdhury,Jewelry,Monday,December,10026,0,2020-12-14,6
925 Silver Mystic TopazDiamond Ring,219844F,160.75,162.5,83,2020-12-07,2020-12-14,20,tanvirchowdhury,Jewelry,Monday,December,9997,0,2020-12-14,13
925 Silver Wonder Women Logo Open Style Ring ,215800F,55.0,56.75,31,2020-12-07,2020-12-14,20,PetNe,Jewelry,Monday,December,10049,0,2020-12-14,10
925 SilverGreen Amethyst Stud Earrings,223363F,18.5,20.25,67,2020-12-07,2020-12-14,16,Razrbladekiss,Jewelry,Monday,December,10013,0,2020-12-14,15
FitBit Charge 2 Fitness Tracker ,219342F,77.25,79.0,157,2020-12-07,2020-12-14,28,siolekm,Jewelry,Monday,December,9923,0,2020-12-14,11
GE X500 Digital Camera,224928B,71.75,73.5,27,2020-12-07,2020-12-14,13,Canard03,Technology,Monday,December,10053,0,2020-12-14,16
Gold Leaf Replica Non Monetary100 Canadian Dollar Bank Note,126147C,27.75,29.5,23,2020-12-07,2020-12-14,17,Shotta,Antique,Monday,December,10057,0,2020-12-14,0
Hipstreet 8GB MicroSDHC Memory Card,154919B,12.0,13.75,115,2020-12-07,2020-12-14,7,ARBIT,Technology,Monday,December,9965,0,2020-12-14,1
Ladies 925 SilverAmethyst Ring ,159750F,29.5,31.25,2,2020-12-07,2020-12-14,12,saqib.meer,Jewelry,Monday,December,10078,0,2020-12-14,2
Ladies Lancel Silver Ring ,203123F,24.75,26.5,17,2020-12-07,2020-12-14,11,palin@bell.net,Jewelry,Monday,December,10063,0,2020-12-14,4
Ladies Silver Cable Link Bracelet ,203122F,41.75,43.5,9,2020-12-07,2020-12-14,13,Dimos,Jewelry,Monday,December,10071,0,2020-12-14,3
Mens Gold-ToneCZ Fashion Ring ,212178F,18.75,20.5,61,2020-12-07,2020-12-14,7,MNS,Jewelry,Monday,December,10019,0,2020-12-14,5
Movado Leather-Look Watch Box ,219366F,2.75,4.5,127,2020-12-07,2020-12-14,3,Ben019283,Jewelry,Monday,December,9953,0,2020-12-14,12
Property Bag Assorted Fashion Jewelry/Items,219877F,56.75,58.5,144,2020-12-07,2020-12-14,19,MNS,Jewelry,Monday,December,9936,0,2020-12-14,14
Quartz Analog Fashion Wrist Watch ,214581F,8.27,10.02,79,2020-12-07,2020-12-14,6,emie123,Jewelry,Monday,December,10001,0,2020-12-14,9
14K Yellow Gold Ring: DiamondAmethyst ,212268F,534.75,536.5,17,2020-12-08,2020-12-15,38,jawadnasiri,Jewelry,Tuesday,December,10063,0,2020-12-15,18
15.6 HP 15 AMD A8Notebook PC Laptop ,225358B,186.75,188.5,4,2020-12-08,2020-12-15,50,Woodenhorse1967,Technology,Tuesday,December,10076,0,2020-12-15,32
15.6 HP 15 AMD E1-2100 Notebook PC Laptop ,225357B,181.75,183.5,11,2020-12-08,2020-12-15,27,Manan,Technology,Tuesday,December,10069,0,2020-12-15,31
925 Silver SapphireDiamond Ring,219819F,100.0,101.75,9,2020-12-08,2020-12-15,33,Woodenhorse1967,Jewelry,Tuesday,December,10071,0,2020-12-15,21
Amazon Kindle eReader D01200 (WiFi),223841B,26.75,28.5,12,2020-12-08,2020-12-15,16,lyndzc1981,Technology,Tuesday,December,10068,0,2020-12-15,25
Amazon Kindle eReader EY21 (WiFi),222834B,14.75,16.5,3,2020-12-08,2020-12-15,10,Afig27,Technology,Tuesday,December,10077,0,2020-12-15,22
Anker Soundcore Life Q20 On-Ear Bluetooth Wireless Headphones,224857B,56.75,58.5,25,2020-12-08,2020-12-15,31,s_olasusi@hotmail.com,Technology,Tuesday,December,10055,0,2020-12-15,28
Cameron VS900 Camera CageDJI Ronin R-004 Mounting Base Plate,224862B,55.5,57.25,1,2020-12-08,2020-12-15,25,Smario,Technology,Tuesday,December,10079,0,2020-12-15,29
Canon EOS M50 Mirrorless Camera with 15-45mm LensLowepro Bag,224806B,316.75,318.5,7,2020-12-08,2020-12-15,65,Jediknight,Technology,Tuesday,December,10073,0,2020-12-15,26
Cheetah Print Fashion Wrist Watch ,210393F,16.75,18.5,19,2020-12-08,2020-12-15,12,on2020,Jewelry,Tuesday,December,10061,0,2020-12-15,17
MonoPod Selfie StickBluetooth Remote Shutter (New),214555B,13.74,15.49,14,2020-12-08,2020-12-15,9,maylee26,Technology,Tuesday,December,10066,0,2020-12-15,19
Muse MU-02 Brain Sensing Mediation Headband with Jabra Soft Case,224812B,68.3,70.05,19,2020-12-08,2020-12-15,12,ryan.ewen,Technology,Tuesday,December,10061,0,2020-12-15,27
Nike+ Sport Watch with TomTom GPS ,218822F,46.75,48.5,7,2020-12-08,2020-12-15,18,palin@bell.net,Jewelry,Tuesday,December,10073,0,2020-12-15,20
Nikon Coolpix S570 Digital Camera,223096B,8.74,10.49,13,2020-12-08,2020-12-15,7,jim2222,Technology,Tuesday,December,10067,0,2020-12-15,24
Nikon D3400 Digital SLR Camera,225188B,301.5,303.25,10,2020-12-08,2020-12-15,39,Tylerlynch,Technology,Tuesday,December,10070,0,2020-12-15,30
Sony PSP 3001 Portable Game Systemwith Game,223094B,121.75,123.5,16,2020-12-08,2020-12-15,24,IanC,Technology,Tuesday,December,10064,0,2020-12-15,23
Bella Quartz Fashion Wrist Watch ,210404F,10.0,11.75,8,2020-12-09,2020-12-16,5,Tazdriver,Jewelry,Wednesday,December,10072,0,2020-12-16,33
Casio G-Shock AnalogDigital Wrist Watch ,215632F,57.75,59.5,1,2020-12-09,2020-12-16,17,BGajraj,Jewelry,Wednesday,December,10079,0,2020-12-16,35
Kingston 32GB MicroSDHC 4K Ultra HD Memory Card,224460B,18.99,20.74,20,2020-12-09,2020-12-16,12,Manan,Technology,Wednesday,December,10060,0,2020-12-16,37
Lot of (3) USB chargers,212998B,6.0,7.75,24,2020-12-09,2020-12-16,3,Caspian42,Technology,Wednesday,December,10056,0,2020-12-16,34
Samsung S750 7.2 MP Digital Camera,224441B,13.76,15.51,10,2020-12-09,2020-12-16,8,OfwhiteandIvory15,Technology,Wednesday,December,10070,0,2020-12-16,36
Scosche 2-Port 5000mAh Power Bank,225199B,6.24,7.99,1,2020-12-09,2020-12-16,5,pa57,Technology,Wednesday,December,10079,0,2020-12-16,39
Sony ICF-P26 FM/AM Radio ,225143B,20.75,22.5,12,2020-12-09,2020-12-16,12,yodaman905,Technology,Wednesday,December,10068,0,2020-12-16,38
10K Yellow Gold Crucifix Pendant,219870F,82.75,84.5,14,2020-12-10,2020-12-17,25,emie123,Jewelry,Thursday,December,10066,0,2020-12-17,47
10K Yellow Gold Wedding Band,219862F,151.75,153.5,4,2020-12-10,2020-12-17,14,Lalu,Jewelry,Thursday,December,10076,0,2020-12-17,46
14K Yellow Gold DiamondAlmandite Garnet Ring,212271F,504.75,506.5,1,2020-12-10,2020-12-17,82,jawadnasiri,Jewelry,Thursday,December,10079,0,2020-12-17,41
2008 World Champion Philadelphia Phillies Jimmy Rollins Souvenir Ring,221715F,36.75,38.5,45,2020-12-10,2020-12-17,11,Cary,Jewelry,Thursday,December,10035,0,2020-12-17,50
925 Silver Box Link ChainPolar Bear Pendant,219876F,126.75,128.5,35,2020-12-10,2020-12-17,51,Dimos,Jewelry,Thursday,December,10045,0,2020-12-17,48
925 Silver GarnetDiamond Ring,217298F,151.75,153.5,2,2020-12-10,2020-12-17,51,Jinxgirl,Jewelry,Thursday,December,10078,0,2020-12-17,43
925 Silver Ring: RubyCubic Zirconia,219823F,52.75,54.5,19,2020-12-10,2020-12-17,10,Woodenhorse1967,Jewelry,Thursday,December,10061,0,2020-12-17,45
Alpine Quartz Pocket Watch,223591F,29.75,31.5,6,2020-12-10,2020-12-17,17,Ben019283,Jewelry,Thursday,December,10074,0,2020-12-17,53
B+W 58mm XS-Pro UV-Haze MRC Nano 010M Camera Filter,223880B,5.0,6.75,8,2020-12-10,2020-12-17,3,mcfvdw2957,Technology,Thursday,December,10072,0,2020-12-17,54
Borne Airbuds Wireless Stereo Earbuds,222328B,33.75,35.5,23,2020-12-10,2020-12-17,20,emie123,Technology,Thursday,December,10057,0,2020-12-17,51
Cultured Pearl Necklace with 14KT Yellow Gold Clasp,219733F,52.0,53.75,11,2020-12-10,2020-12-17,22,Cantychase,Jewelry,Thursday,December,10069,0,2020-12-17,44
Ladies Sterling SilverSynthetic Stones Fashion Ring,205019F,20.0,21.75,25,2020-12-10,2020-12-17,6,Biilybuck,Jewelry,Thursday,December,10055,0,2020-12-17,40
Lot of (3) USB Chargers,212997B,4.75,6.5,8,2020-12-10,2020-12-17,3,viggy,Technology,Thursday,December,10072,0,2020-12-17,42
Lot of Assorted Electronic Items ,224400B,34.01,35.76,26,2020-12-10,2020-12-17,15,lar,Technology,Thursday,December,10054,0,2020-12-17,55
Lot of Assorted Electronic Items - iPad case/Flashlight/Mouses/More,224493B,18.3,20.05,21,2020-12-10,2020-12-17,12,ARBIT,Technology,Thursday,December,10059,0,2020-12-17,56
Mens Ecosse Fashion Wrist Watch,223011F,32.73,34.48,16,2020-12-10,2020-12-17,15,Tazdriver,Jewelry,Thursday,December,10064,0,2020-12-17,52
Mens Gold-ToneCubic Zirconia Ring,221707F,5.75,7.5,24,2020-12-10,2020-12-17,3,emie123,Jewelry,Thursday,December,10056,0,2020-12-17,49
10K White Gold Heart Necklace,219700F,201.75,203.5,10,2020-12-11,2020-12-18,50,cherokee1_1,Jewelry,Friday,December,10070,0,2020-12-18,60
10K White Gold with Black and White Diamond Pendant ,219782F,502.25,504.0,1,2020-12-11,2020-12-18,71,palzomd@gmail.com,Jewelry,Friday,December,10079,0,2020-12-18,64
10K Yellow Gold Greek Key Ring,219255F,62.35,64.1,13,2020-12-11,2020-12-18,22,jaws1000,Jewelry,Friday,December,10067,0,2020-12-18,59
10K Yellow GoldCubic Zirconia Eagle Head Ring,219253F,186.75,188.5,2,2020-12-11,2020-12-18,46,ripreddog,Jewelry,Friday,December,10078,0,2020-12-18,58
8 10K Yellow Gold Link Bracelet,219701F,652.75,654.5,24,2020-12-11,2020-12-18,46,agentfeds,Jewelry,Friday,December,10056,0,2020-12-18,61
